mut_id,mut_type,0,25,50
1,m2,100,159,195
2,m2,100,131,160
3,m2,100,144,195
4,m2,100,186,200
5,m2,100,160,176
6,m2,100,115,196
7,m2,100,130,177
8,m2,100,127,167
9,m2,100,116,174
10,m2,100,147,200
11,m2,100,159,198
12,m2,100,117,179
13,m2,100,181,175
14,m2,100,184,200
15,m2,100,195,200
16,m2,100,176,192
17,m2,100,140,190
18,m2,100,194,200
19,m2,100,156,165
20,m2,100,153,137
21,m2,100,173,199
22,m2,100,184,200
23,m2,100,159,186
24,m2,100,154,169
25,m2,100,166,193
26,m2,100,134,175
27,m2,100,160,176
28,m2,100,134,139
29,m2,100,137,190
30,m2,100,142,168
31,m2,100,167,200
32,m2,100,142,172
33,m2,100,108,108
34,m2,100,118,103
35,m2,100,120,173
36,m2,100,185,200
37,m2,100,179,199
38,m2,100,107,196
39,m2,100,96,163
40,m2,100,168,185
41,m2,100,132,187
42,m2,100,144,162
43,m2,100,187,200
44,m2,100,180,186
45,m2,100,151,161
46,m2,100,182,200
47,m2,100,193,200
48,m2,100,171,200
49,m2,100,142,197
50,m2,100,153,157
1,m1,100,172,158
2,m1,100,73,114
3,m1,100,52,9
4,m1,100,86,68
5,m1,100,64,47
6,m1,100,113,111
7,m1,100,75,43
8,m1,100,42,33
9,m1,100,137,108
10,m1,100,57,44
11,m1,100,66,50
12,m1,100,80,65
13,m1,100,44,5
14,m1,100,126,109
15,m1,100,65,33
16,m1,100,71,32
17,m1,100,49,71
18,m1,100,46,37
19,m1,100,113,126
20,m1,100,88,77
21,m1,100,130,164
22,m1,100,58,77
23,m1,100,105,65
24,m1,100,78,25
25,m1,100,60,65
26,m1,100,118,130
27,m1,100,120,54
28,m1,100,85,124
29,m1,100,105,165
30,m1,100,132,114
31,m1,100,142,144
32,m1,100,83,97
33,m1,100,49,56
34,m1,100,127,86
35,m1,100,134,158
36,m1,100,131,119
37,m1,100,122,90
38,m1,100,140,127
39,m1,100,99,52
40,m1,100,135,140
41,m1,100,83,146
42,m1,100,129,171
43,m1,100,116,90
44,m1,100,64,62
45,m1,100,99,131
46,m1,100,132,143
47,m1,100,41,58
48,m1,100,145,171
49,m1,100,86,150
50,m1,100,101,64
51,m1,100,100,94
52,m1,100,139,121
53,m1,100,147,152
54,m1,100,94,24
55,m1,100,61,41
56,m1,100,100,175
57,m1,100,81,117
58,m1,100,79,108
59,m1,100,117,122
60,m1,100,24,20
61,m1,100,95,42
62,m1,100,148,136
63,m1,100,65,55
64,m1,100,129,130
65,m1,100,109,73
66,m1,100,24,3
67,m1,100,57,106
68,m1,100,124,84
69,m1,100,41,0
70,m1,100,108,186
71,m1,100,41,31
72,m1,100,133,187
73,m1,100,95,133
74,m1,100,123,139
75,m1,100,128,128
76,m1,100,88,59
77,m1,100,98,132
78,m1,100,102,39
79,m1,100,96,63
80,m1,100,146,118
81,m1,100,165,147
82,m1,100,68,69
83,m1,100,140,174
84,m1,100,42,57
85,m1,100,94,108
86,m1,100,89,114
87,m1,100,56,77
88,m1,100,101,67
89,m1,100,140,159
90,m1,100,65,82
91,m1,100,117,55
92,m1,100,98,128
93,m1,100,114,83
94,m1,100,143,157
95,m1,100,139,189
96,m1,100,120,125
97,m1,100,104,61
98,m1,100,138,165
99,m1,100,124,163
100,m1,100,144,144
101,m1,100,116,139
102,m1,100,133,91
103,m1,100,134,121
104,m1,100,87,53
105,m1,100,125,125
106,m1,100,91,158
107,m1,100,121,117
108,m1,100,89,119
109,m1,100,49,34
110,m1,100,152,139
111,m1,100,85,43
112,m1,100,93,86
113,m1,100,90,85
114,m1,100,121,132
115,m1,100,90,138
116,m1,100,107,132
117,m1,100,131,137
118,m1,100,150,160
119,m1,100,87,167
120,m1,100,95,95
121,m1,100,123,127
122,m1,100,86,123
123,m1,100,108,145
124,m1,100,142,159
125,m1,100,97,66
126,m1,100,105,184
127,m1,100,23,6
128,m1,100,97,110
129,m1,100,116,79
130,m1,100,60,14
131,m1,100,122,50
132,m1,100,109,167
133,m1,100,94,74
134,m1,100,136,141
135,m1,100,126,137
136,m1,100,73,36
137,m1,100,117,148
138,m1,100,77,58
139,m1,100,91,129
140,m1,100,106,35
141,m1,100,85,103
142,m1,100,115,152
143,m1,100,86,65
144,m1,100,140,180
145,m1,100,140,144
146,m1,100,117,129
147,m1,100,119,100
148,m1,100,153,159
149,m1,100,106,107
150,m1,100,84,65
151,m1,100,141,154
152,m1,100,57,62
153,m1,100,64,5
154,m1,100,143,164
155,m1,100,81,85
156,m1,100,75,93
157,m1,100,150,200
158,m1,100,79,116
159,m1,100,82,132
160,m1,100,172,142
161,m1,100,56,97
162,m1,100,92,48
163,m1,100,25,20
164,m1,100,163,175
165,m1,100,91,91
166,m1,100,48,24
167,m1,100,40,118
168,m1,100,68,26
169,m1,100,82,33
170,m1,100,77,45
171,m1,100,61,43
172,m1,100,97,124
173,m1,100,133,162
174,m1,100,173,200
175,m1,100,134,104
176,m1,100,51,57
177,m1,100,141,117
178,m1,100,170,158
179,m1,100,56,52
180,m1,100,91,140
181,m1,100,30,20
182,m1,100,88,85
183,m1,100,113,150
184,m1,100,82,132
185,m1,100,107,60
186,m1,100,71,76
187,m1,100,62,102
188,m1,100,78,129
189,m1,100,108,73
190,m1,100,78,75
191,m1,100,100,129
192,m1,100,133,154
193,m1,100,72,96
194,m1,100,92,89
195,m1,100,70,82
196,m1,100,121,149
197,m1,100,137,38
198,m1,100,112,99
199,m1,100,116,137
200,m1,100,51,70
201,m1,100,126,155
202,m1,100,125,143
203,m1,100,121,101
204,m1,100,57,12
205,m1,100,112,137
206,m1,100,132,154
207,m1,100,95,104
208,m1,100,114,157
209,m1,100,83,109
210,m1,100,71,110
211,m1,100,96,139
212,m1,100,191,200
213,m1,100,32,22
214,m1,100,137,165
215,m1,100,157,170
216,m1,100,93,138
217,m1,100,49,37
218,m1,100,88,91
219,m1,100,72,16
220,m1,100,83,60
221,m1,100,39,98
222,m1,100,124,115
223,m1,100,164,185
224,m1,100,25,37
225,m1,100,138,164
226,m1,100,45,55
227,m1,100,39,24
228,m1,100,96,148
229,m1,100,96,155
230,m1,100,121,142
231,m1,100,131,106
232,m1,100,31,61
233,m1,100,33,79
234,m1,100,152,167
235,m1,100,161,123
236,m1,100,118,99
237,m1,100,94,186
238,m1,100,137,114
239,m1,100,101,141
240,m1,100,68,40
241,m1,100,117,169
242,m1,100,67,117
243,m1,100,80,126
244,m1,100,123,102
245,m1,100,95,163
246,m1,100,47,93
247,m1,100,115,166
248,m1,100,121,107
